@@ | 2019-04-17 16:57:51,226 | 529  | [background-preinit] | INFO  | o.h.validator.internal.util.Version | -HV000001: Hibernate Validator 5.3.0.Final 
@@ | 2019-04-17 16:57:51,259 | 562  | [main] | INFO  | com.bl.EsToHDFS | -Starting EsToHDFS on ZGDKY-180027 with PID 40536 (F:\Works\BulkLoad\EsToHDFS\target\classes started by Administrator in F:\Works\BulkLoad) 
@@ | 2019-04-17 16:57:51,260 | 563  | [main] | INFO  | com.bl.EsToHDFS | -The following profiles are active: hbase 
@@ | 2019-04-17 16:57:51,310 | 613  | [main] | INFO  | o.s.c.a.AnnotationConfigApplicationContext | -Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@10959ece: startup date [Wed Apr 17 16:57:51 CST 2019]; root of context hierarchy 
@@ | 2019-04-17 16:57:53,718 | 3021 | [main] | INFO  | com.bl.run.DataController | -电厂:2713 查询天数:366 查询测点数:3889 
@@ | 2019-04-17 16:57:53,723 | 3026 | [main] | INFO  | com.bl.run.DataController | -相对路径下 2012 目录已创建！ 
@@ | 2019-04-17 16:57:54,512 | 3815 | [main] | INFO  | com.bl.run.DataController | -HDFS 上文件目录 2012 已创建！ 
@@ | 2019-04-17 16:57:54,525 | 3828 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -分批次查询:20 
@@ | 2019-04-17 16:57:54,962 | 4265 | [main] | INFO  | com.bl.source.util.HttpClientUtils | -初始化HttpClients 
@@ | 2019-04-17 16:59:09,589 | 525  | [background-preinit] | INFO  | o.h.validator.internal.util.Version | -HV000001: Hibernate Validator 5.3.0.Final 
@@ | 2019-04-17 16:59:09,618 | 554  | [main] | INFO  | com.bl.EsToHDFS | -Starting EsToHDFS on ZGDKY-180027 with PID 52108 (F:\Works\BulkLoad\EsToHDFS\target\classes started by Administrator in F:\Works\BulkLoad) 
@@ | 2019-04-17 16:59:09,619 | 555  | [main] | INFO  | com.bl.EsToHDFS | -The following profiles are active: hbase 
@@ | 2019-04-17 16:59:09,660 | 596  | [main] | INFO  | o.s.c.a.AnnotationConfigApplicationContext | -Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@10959ece: startup date [Wed Apr 17 16:59:09 CST 2019]; root of context hierarchy 
@@ | 2019-04-17 16:59:13,057 | 3993 | [main] | INFO  | com.bl.run.DataController | -电厂:2713 查询天数:366 查询测点数:3889 
@@ | 2019-04-17 16:59:13,058 | 3994 | [main] | INFO  | com.bl.run.DataController | -相对路径下 2012 目录已创建！ 
@@ | 2019-04-17 16:59:13,570 | 4506 | [main] | INFO  | com.bl.run.DataController | -HDFS 上文件目录 2012 已创建！ 
@@ | 2019-04-17 16:59:13,574 | 4510 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -分批次查询:20 
@@ | 2019-04-17 16:59:13,939 | 4875 | [main] | INFO  | com.bl.source.util.HttpClientUtils | -初始化HttpClients 
@@ | 2019-04-17 17:15:39,848 | 552  | [background-preinit] | INFO  | o.h.validator.internal.util.Version | -HV000001: Hibernate Validator 5.3.0.Final 
@@ | 2019-04-17 17:15:39,883 | 587  | [main] | INFO  | com.bl.EsToHDFS | -Starting EsToHDFS on ZGDKY-180027 with PID 40788 (F:\Works\BulkLoad\EsToHDFS\target\classes started by Administrator in F:\Works\BulkLoad) 
@@ | 2019-04-17 17:15:39,883 | 587  | [main] | INFO  | com.bl.EsToHDFS | -The following profiles are active: hbase 
@@ | 2019-04-17 17:15:39,929 | 633  | [main] | INFO  | o.s.c.a.AnnotationConfigApplicationContext | -Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@10959ece: startup date [Wed Apr 17 17:15:39 CST 2019]; root of context hierarchy 
@@ | 2019-04-17 17:15:44,499 | 5203 | [main] | INFO  | com.bl.run.DataController | -电厂:2713 查询天数:366 查询测点数:3889 
@@ | 2019-04-17 17:15:44,500 | 5204 | [main] | INFO  | com.bl.run.DataController | -相对路径下 2012 目录已创建！ 
@@ | 2019-04-17 17:15:45,002 | 5706 | [main] | INFO  | com.bl.run.DataController | -HDFS 上文件目录 2012 已创建！ 
@@ | 2019-04-17 17:15:45,007 | 5711 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -分批次查询:20 
@@ | 2019-04-17 17:15:45,362 | 6066 | [main] | INFO  | com.bl.source.util.HttpClientUtils | -初始化HttpClients 
@@ | 2019-04-17 17:16:38,297 | 521  | [background-preinit] | INFO  | o.h.validator.internal.util.Version | -HV000001: Hibernate Validator 5.3.0.Final 
@@ | 2019-04-17 17:16:38,330 | 554  | [main] | INFO  | com.bl.EsToHDFS | -Starting EsToHDFS on ZGDKY-180027 with PID 35024 (F:\Works\BulkLoad\EsToHDFS\target\classes started by Administrator in F:\Works\BulkLoad) 
@@ | 2019-04-17 17:16:38,330 | 554  | [main] | INFO  | com.bl.EsToHDFS | -The following profiles are active: hbase 
@@ | 2019-04-17 17:16:38,370 | 594  | [main] | INFO  | o.s.c.a.AnnotationConfigApplicationContext | -Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@10959ece: startup date [Wed Apr 17 17:16:38 CST 2019]; root of context hierarchy 
@@ | 2019-04-17 17:16:39,651 | 1875 | [main] | INFO  | com.bl.run.DataController | -电厂:2713 查询天数:365 查询测点数:3889 
@@ | 2019-04-17 17:16:39,653 | 1877 | [main] | INFO  | com.bl.run.DataController | -相对路径下 2013 目录已创建！ 
@@ | 2019-04-17 17:16:40,159 | 2383 | [main] | INFO  | com.bl.run.DataController | -HDFS 上文件目录 2013 已创建！ 
@@ | 2019-04-17 17:16:40,164 | 2388 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -分批次查询:20 
@@ | 2019-04-17 17:16:40,532 | 2756 | [main] | INFO  | com.bl.source.util.HttpClientUtils | -初始化HttpClients 
@@ | 2019-04-17 17:16:55,304 | 17528 | [main] | INFO  | com.bl.source.file.CreateFileUtil | -2713-2013-01-01.txt 文件已创建！ 
@@ | 2019-04-17 17:16:55,404 | 17628 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-01 ===== ,第 1 批次数据插入完成 ===== 
@@ | 2019-04-17 17:17:03,679 | 25903 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-01 ===== ,第 2 批次数据插入完成 ===== 
@@ | 2019-04-17 17:17:15,645 | 37869 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-01 ===== ,第 3 批次数据插入完成 ===== 
@@ | 2019-04-17 17:18:03,000 | 508  | [background-preinit] | INFO  | o.h.validator.internal.util.Version | -HV000001: Hibernate Validator 5.3.0.Final 
@@ | 2019-04-17 17:18:03,021 | 529  | [main] | INFO  | com.bl.EsToHDFS | -Starting EsToHDFS on ZGDKY-180027 with PID 12508 (F:\Works\BulkLoad\EsToHDFS\target\classes started by Administrator in F:\Works\BulkLoad) 
@@ | 2019-04-17 17:18:03,022 | 530  | [main] | INFO  | com.bl.EsToHDFS | -The following profiles are active: hbase 
@@ | 2019-04-17 17:18:03,060 | 568  | [main] | INFO  | o.s.c.a.AnnotationConfigApplicationContext | -Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@10959ece: startup date [Wed Apr 17 17:18:03 CST 2019]; root of context hierarchy 
@@ | 2019-04-17 17:18:15,173 | 12681 | [main] | INFO  | com.bl.run.DataController | -电厂:2713 查询天数:366 查询测点数:3889 
@@ | 2019-04-17 17:18:15,175 | 12683 | [main] | INFO  | com.bl.run.DataController | -相对路径下 2012 目录已创建！ 
@@ | 2019-04-17 17:18:15,708 | 13216 | [main] | INFO  | com.bl.run.DataController | -HDFS 上文件目录 2012 已创建！ 
@@ | 2019-04-17 17:18:15,713 | 13221 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -分批次查询:20 
@@ | 2019-04-17 17:18:16,085 | 13593 | [main] | INFO  | com.bl.source.util.HttpClientUtils | -初始化HttpClients 
@@ | 2019-04-17 17:20:42,638 | 526  | [background-preinit] | INFO  | o.h.validator.internal.util.Version | -HV000001: Hibernate Validator 5.3.0.Final 
@@ | 2019-04-17 17:20:42,673 | 561  | [main] | INFO  | com.bl.EsToHDFS | -Starting EsToHDFS on ZGDKY-180027 with PID 68588 (F:\Works\BulkLoad\EsToHDFS\target\classes started by Administrator in F:\Works\BulkLoad) 
@@ | 2019-04-17 17:20:42,673 | 561  | [main] | INFO  | com.bl.EsToHDFS | -The following profiles are active: hbase 
@@ | 2019-04-17 17:20:42,712 | 600  | [main] | INFO  | o.s.c.a.AnnotationConfigApplicationContext | -Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@10959ece: startup date [Wed Apr 17 17:20:42 CST 2019]; root of context hierarchy 
@@ | 2019-04-17 17:20:44,703 | 2591 | [main] | INFO  | com.bl.run.DataController | -电厂:2713 查询天数:365 查询测点数:3889 
@@ | 2019-04-17 17:20:44,703 | 2591 | [main] | INFO  | com.bl.run.DataController | -相对路径下 2013 目录已创建！ 
@@ | 2019-04-17 17:20:45,226 | 3114 | [main] | INFO  | com.bl.run.DataController | -HDFS 上文件目录 2013 已创建！ 
@@ | 2019-04-17 17:20:45,230 | 3118 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -分批次查询:20 
@@ | 2019-04-17 17:20:45,594 | 3482 | [main] | INFO  | com.bl.source.util.HttpClientUtils | -初始化HttpClients 
@@ | 2019-04-17 17:21:00,481 | 18369 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-01 ===== ,第 1 批次数据插入完成 ===== 
@@ | 2019-04-17 17:21:18,116 | 36004 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-01 ===== ,第 2 批次数据插入完成 ===== 
@@ | 2019-04-17 17:21:26,567 | 44455 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-01 ===== ,第 3 批次数据插入完成 ===== 
@@ | 2019-04-17 17:21:30,325 | 48213 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-01 ===== ,第 4 批次数据插入完成 ===== 
@@ | 2019-04-17 17:21:42,878 | 60766 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-01 ===== ,第 5 批次数据插入完成 ===== 
@@ | 2019-04-17 17:21:58,527 | 76415 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-01 ===== ,第 6 批次数据插入完成 ===== 
@@ | 2019-04-17 17:22:06,618 | 84506 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-01 ===== ,第 7 批次数据插入完成 ===== 
@@ | 2019-04-17 17:22:15,350 | 93238 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-01 ===== ,第 8 批次数据插入完成 ===== 
@@ | 2019-04-17 17:22:27,652 | 105540 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-01 ===== ,第 9 批次数据插入完成 ===== 
@@ | 2019-04-17 17:22:42,661 | 120549 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-01 ===== ,第 10 批次数据插入完成 ===== 
@@ | 2019-04-17 17:22:54,229 | 132117 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-01 ===== ,第 11 批次数据插入完成 ===== 
@@ | 2019-04-17 17:23:08,369 | 146257 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-01 ===== ,第 12 批次数据插入完成 ===== 
@@ | 2019-04-17 17:23:25,584 | 163472 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-01 ===== ,第 13 批次数据插入完成 ===== 
@@ | 2019-04-17 17:23:41,554 | 179442 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-01 ===== ,第 14 批次数据插入完成 ===== 
